Name: Wafa Waheeda Syed
Name: Haya Al-Thani
ID: ww1402824

ID: 200662244

Linux Scheduler Simulator (1000 tasks)

Number of CPUs entered by user to simulate: 4 
the percentage of RT tasks to simulate: 50 
the percentage of NRT tasks to simulate: 50 
Time                     Task ID                  CPU Number                
98                       0                        0                         
148                      0                        0                         
223                      0                        0                         
323                      0                        0                         
374                      3                        3                         
531                      1                        1                         
586                      5                        1                         
621                      5                        1                         
680                      7                        3                         
686                      2                        2                         
849                      4                        0                         
1177                     9                        1                         
1316                     6                        2                         
1317                     11                       3                         
1454                     16                       0                         
1815                     22                       2                         
2140                     24                       0                         
2257                     13                       1                         
2342                     15                       3                         
2638                     38                       2                         
2728                     40                       0                         
3046                     29                       1                         
3313                     35                       3                         
3502                     42                       2                         
3611                     65                       1                         
3621                     48                       0                         
4009                     46                       2                         
4143                     63                       3                         
4279                     61                       1                         
4367                     66                       2                         
4390                     49                       1                         
4457                     64                       0                         
4532                     89                       1                         
4712                     92                       0                         
4933                     74                       2                         
5047                     59                       3                         
5235                     98                       2                         
5347                     37                       1                         
5379                     96                       0                         
5590                     94                       2                         
5646                     55                       3                         
5668                     100                      0                         
5692                     114                      2                         
5945                     101                      1                         
6096                     111                      2                         
6195                     84                       1                         
6206                     110                      3                         
6516                     112                      0                         
6741                     18                       2                         
6850                     128                      0                         
6930                     67                       3                         
7011                     14                       2                         
7049                     97                       1                         
7191                     125                      1                         
7568                     51                       3                         
7696                     104                      0                         
7708                     141                      1                         
7854                     54                       2                         
8058                     123                      3                         
8161                     33                       1                         
8291                     157                      1                         
8297                     159                      3                         
8348                     132                      0                         
8470                     158                      2                         
9028                     160                      0                         
9081                     75                       3                         
9255                     162                      2                         
9341                     165                      1                         
9515                     173                      1                         
9697                     124                      0                         
9814                     147                      2                         
9962                     193                      1                         
10100                    175                      3                         
10117                    180                      1                         
10274                    129                      1                         
10291                    174                      2                         
10752                    188                      0                         
11094                    205                      1                         
11124                    195                      3                         
11273                    170                      2                         
11375                    221                      1                         
11706                    213                      1                         
11811                    204                      0                         
12049                    219                      3                         
12233                    226                      2                         
12403                    215                      3                         
12470                    208                      0                         
12626                    229                      1                         
12765                    244                      0                         
12853                    249                      1                         
12899                    242                      2                         
12930                    191                      3                         
13111                    262                      2                         
13390                    231                      3                         
13793                    232                      0                         
13847                    266                      2                         
13908                    233                      1                         
13965                    192                      0                         
14162                    247                      3                         
14436                    245                      1                         
14469                    287                      3                         
14540                    284                      0                         
14676                    297                      1                         
14725                    275                      3                         
14822                    214                      2                         
15028                    148                      0                         
15458                    308                      0                         
15575                    176                      0                         
15719                    290                      2                         
15733                    289                      1                         
15797                    200                      0                         
15797                    87                       3                         
15979                    294                      2                         
16177                    28                       0                         
16358                    306                      2                         
16425                    323                      3                         
16442                    332                      0                         
16649                    321                      1                         
16811                    314                      2                         
17173                    198                      2                         
17173                    103                      3                         
17398                    259                      0                         
17565                    354                      2                         
17661                    285                      1                         
17702                    196                      0                         
17746                    86                       2                         
17907                    347                      3                         
18167                    190                      2                         
18367                    361                      1                         
18434                    367                      3                         
18544                    312                      0                         
18692                    374                      2                         
18989                    378                      2                         
19143                    359                      3                         
19150                    345                      1                         
